timestamp,player_name,heart_rate,motion_level,emg_signal,fatigue_score
2025-04-20 20:00:00,Lionel Messi,173.4,0.58,0.63,0.62
2025-04-20 20:00:05,Lionel Messi,163.4,0.4,0.56,0.6
2025-04-20 20:00:10,Lionel Messi,161.0,0.85,0.25,0.35
2025-04-20 20:00:15,Lionel Messi,187.9,0.56,0.58,0.69
2025-04-20 20:00:20,Lionel Messi,167.9,0.64,0.24,0.46
2025-04-20 20:00:25,Lionel Messi,164.1,0.64,0.68,0.56
2025-04-20 20:00:30,Lionel Messi,164.5,0.28,0.37,0.58
2025-04-20 20:00:35,Lionel Messi,170.1,0.48,0.54,0.6
2025-04-20 20:00:40,Lionel Messi,164.9,0.33,0.48,0.6
2025-04-20 20:00:45,Lionel Messi,171.1,0.4,0.47,0.61
2025-04-20 20:00:50,Lionel Messi,170.6,0.66,0.54,0.56
2025-04-20 20:00:55,Lionel Messi,170.9,0.66,0.62,0.58
2025-04-20 20:01:00,Lionel Messi,166.4,0.79,0.37,0.44
2025-04-20 20:01:05,Lionel Messi,144.5,0.41,0.6,0.5
2025-04-20 20:01:10,Lionel Messi,169.7,0.81,0.51,0.49
2025-04-20 20:01:15,Lionel Messi,169.5,0.26,0.96,0.79
2025-04-20 20:01:20,Lionel Messi,176.1,0.6,0.55,0.61
2025-04-20 20:01:25,Lionel Messi,171.6,0.57,0.66,0.62
2025-04-20 20:01:30,Lionel Messi,162.9,0.5,0.69,0.6
2025-04-20 20:01:35,Lionel Messi,165.1,0.26,0.56,0.65
2025-04-20 20:01:40,Lionel Messi,160.0,0.7,0.2,0.38
2025-04-20 20:01:45,Lionel Messi,174.8,0.71,0.38,0.51
2025-04-20 20:01:50,Lionel Messi,163.8,0.8,0.66,0.51
2025-04-20 20:01:55,Lionel Messi,148.4,0.57,0.44,0.42
2025-04-20 20:02:00,Lionel Messi,149.2,0.64,0.51,0.43
2025-04-20 20:02:05,Lionel Messi,173.3,0.5,0.35,0.56
2025-04-20 20:02:10,Lionel Messi,177.5,0.44,0.55,0.66
2025-04-20 20:02:15,Lionel Messi,170.5,0.43,0.48,0.6
2025-04-20 20:02:20,Lionel Messi,166.4,0.77,0.38,0.45
2025-04-20 20:02:25,Lionel Messi,163.3,0.55,0.2,0.44
2025-04-20 20:02:30,Lionel Messi,161.6,0.76,0.3,0.4
2025-04-20 20:02:35,Lionel Messi,169.4,0.86,0.63,0.51
2025-04-20 20:02:40,Lionel Messi,168.7,0.63,0.75,0.61
2025-04-20 20:02:45,Lionel Messi,167.7,0.66,0.49,0.52
